,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
071902055,76,76,69,84,79,81,90,86,071902055,071902
071902056,76,78,70,76,72,88,91,77,071902056,071902
071903041,86,58,71,62,60,78,73,74,071903041,071903
071905043,.,.,75,84,83,91,91,82,071905043,071905
071905046,69,52,58,52,48,85,75,59,071905046,071905
071905047,78,75,63,81,78,89,87,83,071905047,071905
071905050,80,75,63,70,62,93,88,70,071905050,071905
071905051,87,51,61,75,69,96,83,86,071905051,071905
071905052,81,62,68,71,57,89,85,77,071905052,071905
071906041,85,66,79,70,62,91,87,70,071906041,071906
071907041,79,64,85,83,82,84,86,74,071907041,071907
071907042,63,62,72,68,61,81,84,78,071907042,071907
071908041,67,56,79,62,70,79,70,52,071908041,071908
071909041,82,67,77,77,78,83,87,77,071909041,071909
071909042,76,63,80,78,73,87,79,77,071909042,071909
071909043,81,66,83,79,72,92,89,82,071909043,071909
071909044,87,68,69,75,72,90,86,78,071909044,071909
071909045,81,76,75,82,79,92,92,86,071909045,071909
071909046,86,77,87,84,80,95,89,86,071909046,071909
071909047,86,77,80,74,76,94,90,83,071909047,071909
071909048,90,72,83,84,81,92,90,82,071909048,071909
071909049,80,73,77,82,80,94,92,85,071909049,071909
074907041,91,53,70,70,77,90,93,83,074907041,074907
074909041,63,61,76,76,60,76,90,65,074909041,074909
077902041,78,57,54,58,60,76,69,51,077902041,077902
079901045,95,87,91,91,85,97,97,92,079901045,079901
079907041,86,83,86,85,84,90,95,86,079907041,079907
079907042,73,60,65,61,57,77,84,69,079907042,079907
079907043,88,80,81,82,74,94,91,86,079907043,079907
079907044,86,83,83,81,80,78,95,85,079907044,079907
079907045,91,87,90,93,90,94,96,92,079907045,079907
079907046,56,47,62,60,50,65,75,55,079907046,079907
079907047,79,68,76,73,67,85,89,78,079907047,079907
079907048,73,60,73,70,63,84,83,77,079907048,079907
079907049,92,84,87,88,89,89,93,89,079907049,079907
079907050,97,94,96,93,94,97,99,95,079907050,079907
079907051,99,96,98,97,97,98,98,98,079907051,079907
079907052,88,79,85,84,83,89,93,88,079907052,079907
079907053,84,72,80,80,75,87,91,87,079907053,079907
079907054,94,87,91,88,82,96,96,87,079907054,079907
081902041,85,80,73,73,68,89,90,80,081902041,081902
081904041,57,69,80,80,79,89,87,76,081904041,081904
081905041,87,63,67,74,56,81,86,82,081905041,081905
082902041,37,40,59,74,63,53,76,57,082902041,082902
082903041,48,48,49,49,52,72,66,58,082903041,082903
083903041,69,65,69,68,67,89,87,80,083903041,083903
084906010,.,.,.,.,.,.,.,.,084906010,084906
084908042,75,67,52,70,46,78,67,45,084908042,084908
084909041,69,64,70,69,62,80,82,66,084909041,084909
084910042,89,83,89,90,84,98,96,86,084910042,084910
084910043,82,80,81,77,71,87,90,85,084910043,084910
084910044,80,75,77,77,70,93,87,73,084910044,084910
084910045,90,90,87,90,87,93,96,86,084910045,084910
084910046,82,79,79,82,82,88,89,85,084910046,084910
084910047,81,76,77,76,70,85,88,68,084910047,084910
084910048,84,84,81,80,82,90,91,79,084910048,084910
084910049,94,92,91,89,86,99,97,90,084910049,084910
084910050,87,77,86,84,80,93,91,85,084910050,084910
084910051,75,71,71,72,67,88,89,82,084910051,084910
084911041,90,91,91,88,87,98,96,93,084911041,084911
085902041,61,61,50,72,57,90,78,59,085902041,085902
086901041,80,62,76,75,75,80,89,79,086901041,086901
090904042,65,59,66,60,54,84,81,67,090904042,090904
091901041,93,84,69,89,77,94,91,88,091901041,091901
091909041,73,68,75,74,73,94,94,82,091909041,091909
091910041,95,83,91,86,84,93,87,85,091910041,091910
091914041,67,67,71,65,61,84,93,91,091914041,091914
091918041,65,55,80,79,73,88,83,77,091918041,091918
092901042,59,53,71,68,62,83,76,66,092901042,092901
092902042,64,60,67,69,65,84,83,71,092902042,092902
092903041,68,54,69,63,56,84,80,70,092903041,092903
092903042,81,74,77,78,71,91,91,82,092903042,092903
092903043,69,59,66,79,73,92,88,74,092903043,092903
092906041,80,81,75,81,83,82,86,78,092906041,092906
092907042,92,85,74,80,77,92,94,89,092907042,092907
092908041,75,84,68,75,83,92,89,77,092908041,092908
093904042,50,44,37,53,50,73,73,56,093904042,093904
